#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 07 19 00 270 12.1 15.1 99.00 99.00 99.00 999 1040.6 -18.8 999.0 -21.1 99.0 99.00
2015 01 07 20 00 258 12.0 14.1 99.00 99.00 99.00 999 1039.7 -17.1 999.0 -19.7 99.0 99.00
2015 01 07 21 00 272 11.6 14.3 99.00 99.00 99.00 999 1038.8 -15.7 999.0 -18.2 99.0 99.00
2015 01 07 22 00 267 12.1 15.5 99.00 99.00 99.00 999 1037.4 -14.6 999.0 -16.8 99.0 99.00
2015 01 07 23 00 267 13.5 17.3 99.00 99.00 99.00 999 1037.2 -14.7 999.0 -17.6 99.0 99.00
2015 01 08 00 00 263 15.5 18.5 99.00 99.00 99.00 999 1036.4 -14.7 999.0 -17.7 99.0 99.00
2015 01 08 01 00 263 14.1 17.5 99.00 99.00 99.00 999 1034.6 -14.2 999.0 -17.3 99.0 99.00
2015 01 08 02 00 263 13.5 16.6 99.00 99.00 99.00 999 1033.0 -13.3 999.0 -15.9 99.0 99.00
2015 01 08 03 00 268 16.3 19.8 99.00 99.00 99.00 999 1031.7 -13.7 999.0 -17.6 99.0 99.00
2015 01 08 04 00 267 15.2 18.2 99.00 99.00 99.00 999 1030.3 -14.0 999.0 -16.9 99.0 99.00
2015 01 08 05 00 264 13.0 16.7 99.00 99.00 99.00 999 1028.7 -13.3 999.0 -15.9 99.0 99.00
2015 01 08 06 00 231 10.7 14.1 99.00 99.00 99.00 999 1026.8 -13.5 999.0 -14.7 99.0 99.00
2015 01 08 07 00 234 15.0 18.5 99.00 99.00 99.00 999 1025.0 -15.1 999.0 -16.7 99.0 99.00
2015 01 08 08 00 226 12.6 17.0 99.00 99.00 99.00 999 1023.9 -15.2 999.0 -16.6 99.0 99.00
2015 01 08 09 00 223 12.6 16.0 99.00 99.00 99.00 999 1022.5 -15.9 999.0 -17.4 99.0 99.00
2015 01 08 10 00 224 11.9 14.6 99.00 99.00 99.00 999 1020.5 -15.6 999.0 -18.1 99.0 99.00
2015 01 08 11 00 229  9.0 11.2 99.00 99.00 99.00 999 1018.4 -15.3 999.0 -18.2 99.0 99.00
2015 01 08 12 00 234 10.7 12.4 99.00 99.00 99.00 999 1016.7 -14.3 999.0 -20.4 99.0 99.00
2015 01 08 13 00 224  6.3  7.5 99.00 99.00 99.00 999 1014.9 -13.5 999.0 -19.5 99.0 99.00
2015 01 08 14 00 173  4.1  5.4 99.00 99.00 99.00 999 1013.5 -15.5 999.0 -20.8 99.0 99.00
2015 01 08 15 00 180  4.7  6.3 99.00 99.00 99.00 999 1011.6 -15.3 999.0 -22.0 99.0 99.00
2015 01 08 16 00 192  4.8  6.1 99.00 99.00 99.00 999 1010.2 -15.2 999.0 -20.1 99.0 99.00
2015 01 08 17 00 182  3.6  5.3 99.00 99.00 99.00 999 1008.7 -15.3 999.0 -17.5 99.0 99.00
2015 01 08 18 00 216  7.4  9.7 99.00 99.00 99.00 999 1006.8 -14.4 999.0 -16.6 99.0 99.00
2015 01 08 19 00 217  7.6 10.2 99.00 99.00 99.00 999 1005.1 -14.7 999.0 -16.9 99.0 99.00
2015 01 08 20 00 283  7.4  9.6 99.00 99.00 99.00 999 1004.7 -13.6 999.0 -16.9 99.0 99.00
2015 01 08 21 00 299  7.7  9.1 99.00 99.00 99.00 999 1004.8 -13.1 999.0 -15.6 99.0 99.00
2015 01 08 22 00 319  9.3 11.8 99.00 99.00 99.00 999 1005.4 -12.2 999.0 -15.0 99.0 99.00
2015 01 08 23 00 318 11.5 13.6 99.00 99.00 99.00 999 1006.5 -11.4 999.0 -14.5 99.0 99.00
2015 01 09 00 00 313 13.5 16.5 99.00 99.00 99.00 999 1007.9 -11.7 999.0 -16.0 99.0 99.00
2015 01 09 01 00 323 15.6 17.1 99.00 99.00 99.00 999 1009.1 -11.9 999.0 -16.1 99.0 99.00
2015 01 09 02 00 328 16.4 19.0 99.00 99.00 99.00 999 1010.8 -12.0 999.0 -17.1 99.0 99.00
2015 01 09 03 00 328 17.6 21.7 99.00 99.00 99.00 999 1011.8 -13.0 999.0 -20.0 99.0 99.00
2015 01 09 04 00 331 16.3 18.2 99.00 99.00 99.00 999 1013.5 -14.3 999.0 -20.4 99.0 99.00
2015 01 09 05 00 321 14.5 17.1 99.00 99.00 99.00 999 1014.9 -14.3 999.0 -19.0 99.0 99.00
2015 01 09 06 00 331 14.9 18.5 99.00 99.00 99.00 999 1015.8 -15.1 999.0 -20.3 99.0 99.00
2015 01 09 07 00 308 14.4 18.0 99.00 99.00 99.00 999 1016.4 -15.3 999.0 -20.7 99.0 99.00
2015 01 09 08 00 302  9.6 12.7 99.00 99.00 99.00 999 1017.4 -16.1 999.0 -21.0 99.0 99.00
2015 01 09 09 00 303 13.6 17.2 99.00 99.00 99.00 999 1018.2 -17.5 999.0 -22.0 99.0 99.00
2015 01 09 10 00 310 15.5 18.1 99.00 99.00 99.00 999 1018.9 -18.4 999.0 -22.8 99.0 99.00
2015 01 09 11 00 307 13.2 15.6 99.00 99.00 99.00 999 1019.6 -18.1 999.0 -22.0 99.0 99.00
2015 01 09 12 00 298 13.3 15.4 99.00 99.00 99.00 999 1019.9 -18.5 999.0 -22.5 99.0 99.00
2015 01 09 13 00 292 12.2 15.6 99.00 99.00 99.00 999 1020.1 -17.7 999.0 -20.8 99.0 99.00
2015 01 09 14 00 287 11.9 15.6 99.00 99.00 99.00 999 1020.7 -17.4 999.0 -19.8 99.0 99.00
2015 01 09 15 00 289 12.5 15.1 99.00 99.00 99.00 999 1021.3 -17.6 999.0 -20.7 99.0 99.00
